human_bin,smiles,proteinName,protein_dataset
0,CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1CCCCCCC(=O)O)O)O)O,prot487,human
1,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,prot3,human
0,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,prot787,human
1,C([C@@H](C(=O)O)N)SO,prot170,human
1,C1CC(=O)OC1,prot788,human
0,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O,prot789,human
0,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C5C[C@@H](CCN5C6=CC=CC=C64)CN(C)C,prot791,human
0,CC(C(C(C(C=O)O)O)O)O,prot793,human
1,C1=CC(=CC(=C1)CCSC(=N)N)CCSC(=N)N,prot143,human
0,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,prot795,human
0,[3H]O,prot287,human
0,F[Al],prot19,human
0,CCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2C[C@@H](C4=CC(=O)C=C[C@]34C)C)O)C)C(=O)COC(=O)C,prot796,human
1,CNC(=NC)NCCC[C@@H](C(=O)O)N,prot797,human
0,CCCCC/C=C\CC(=O)C(CCCCCCCC(=O)[O-])O,prot754,human
0,C=CC(=O)N,prot798,human
1,C(CC(=O)O)[C@@H](C(=O)O)N,prot193,human
0,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)NC(=O)[C@@H](CC(=O)NC)N)C(=O)O)C,prot799,human
0,COCCl,prot800,human
0,C[C@@H]1C2[C@H](C3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,prot802,human
1,C(C[C@@H](C(=O)O)N)CNC(=O)N,prot44,human
1,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,prot803,human
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot9,human
0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3(C(=O)C[C@@]2([C@]1(C(=O)CCl)O)C)F)C,prot407,human
1,C1C[C@@H]2C3=C(C=CC=C3NC(=O)NC4=CC=CC=N4)C(=O)N2C1,prot9,human
1,C=CC(=O)NC1=CC2=C(C=C1)N=CN=C2NC3=CC(=CC=C3)Br,prot274,human
0,CC1(C2CC=C(C1C2)CCO)C,prot751,human
1,C1CCC(CC1)OC2=NC3=NC=NN3C(=C2)NC4=CC=C(C=C4)S(=O)(=O)N,prot9,human
0,CC[C@H]1CN2CCC1C[C@@H]2[C@H](C3=C4C=C(C=CC4=NC=C3)OC)O,prot805,human
1,C1=CC=C(C=C1)CN[C@@H](C2=CC=CC=C2)P(=O)(O)O,prot806,human
0,CCCCC/C=C\CC(=O)C(CCCCCCCC(=O)[O-])O,prot301,human
1,CCCCCCCCCCCCCCCC(=O)O,prot807,human
1,CC1=CC(=NN1)NC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,prot207,human
0,C[C@@H]1[C@H]([C@H](O[C@@H]1C2=CC(=C(C=C2)OC(C)C(C3=CC(=C(C=C3)OC)OC)O)OC)C4=CC(=C(C=C4)OC(C)C(C5=CC(=C(C=C5)OC)OC)O)OC)C,prot36,human
1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)CCCN,prot809,human
1,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,prot28,human
0,CC[C@@H]1[C@@]([C@@H]([C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)N)C)O)(C)O,prot537,human
0,CCCCC(CC)C(=O)O,prot810,human
1,C(C(CO)O)O,prot271,human
0,CCCCCCC[N+](CC)(CC)CCCCC1=CC=C(C=C1)Cl,prot811,human
1,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,prot9,human
1,CN(C)S(=O)(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN4CCC(CC4)CCO,prot28,human
1,C(CS)O,prot812,human
1,C(CS)O,prot813,human
0,COC(=O)CCC(=O)OC,prot814,human
0,CCCCC(CC)C(=O)O,prot418,human
1,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,prot28,human
1,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,prot395,human
1,CCCCCCCCCCCCCCCC(=O)O,prot815,human
1,B1(OCCO1)OCCC[NH+]=C(N)N,prot44,human
1,C1=CC2=C(/C(=C/3\C4=C(C=C(C=C4)Br)NC3=O)/N=C2C=C1)NO,prot466,human
1,C1CNCCC1OC2=CC=CC(=C2)C(=O)C3=C(N(N=C3)C4=CC=C(C=C4)F)N,prot9,human
1,C(C(CO)O)O,prot217,human
0,CC1=C[C@H]2[C@@](C[C@H]1OC(=O)CC(C)C)([C@@]3([C@@H]([C@H]([C@@H]([C@]34CO4)O2)O)O)C)COC(=O)C,prot816,human
1,CCN(CC)C(=O)N[C@@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C,prot28,human
0,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O)C(=O)O)O)O,prot238,human
1,CC1=C(C=C(C=C1)O)NC2=C3C=CC(=CC3=NC=C2)C4=CSC(=N4)C=O,prot9,human
1,CC(=O)OC1=CC=CC=C1C(=O)O,prot226,human
1,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,prot28,human
1,C(CC(=O)O)C(=O)C(=O)O,prot818,human
1,CS(=O)C,prot9,human
1,C1=CC2=C(C=C1[N+](=O)[O-])NN=C2,prot94,human
0,C1C[C@@H](NC1)C(=O)O,prot820,human
0,CC(CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C)O,prot822,human
1,C1CCC(CC1)COC2=NC(=NC3=C2NC=N3)NC4=CC=CC=C4,prot49,human
1,CN1C2=C(C=CC(=C2)Cl)C3=C1C(=O)NC4([C@@H]3C#N)CCNCC4,prot9,human
0,CC(C)CN1C=NC2=C1C(=O)N(C(=O)N2C)C,prot561,human
1,CN1CCN(CC1)C(=O)O[C@H]2C3=NC=CN=C3C(=O)N2C4=NC=C(C=C4)Cl,prot347,human
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot319,human
1,C1CNCCN(C1)C(=O)C2=C(C=CC(=C2)CC3=NNC(=O)C4=CC=CC=C43)F,prot825,human
1,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,prot28,human
1,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2,prot565,human
1,CN(C)C=O,prot217,human
1,CCO,prot44,human
0,NS(=O)O,prot827,human
0,C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)C,prot154,human
1,CC[C@H](CO)NC1=NN2C(=NC=C2C3=CC=C(C=C3)C(=O)O)C=C1,prot9,human
1,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=CC4=CN=C(N=C4C=C3)NCCN5CCOCC5,prot9,human
0,C1CCC(CC1)NC2=NC=NC3=C2N=CN3C4[C@@H]([C@@H]([C@H](O4)CO)O)O,prot829,human
1,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,prot28,human
0,F[Al],prot266,human
1,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,prot28,human
0,[B]=O,prot830,human
0,C1C2C(C(C(O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O1)O,prot831,human
0,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCCC5(C)C)C)C)C2C1)C)C)C,prot832,human
0,C(CC(=O)N)C(=O)N,prot4,human
1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,prot382,human
0,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C,prot833,human
1,COCCOCCOCCOCCO,prot834,human
1,CCOCCOCCOCC,prot202,human
1,C(C(CO)O)O,prot727,human
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot612,human
1,C1=CC=C(C=C1)C(=O)CC2=CC=C(C=C2)N=C(N)N,prot460,human
0,C([C@@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O,prot433,human
0,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2COC([C@@H]([C@H]2O)O)O)O)O)O,prot647,human
1,CN1CC[C@@H]([C@@H](C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,prot9,human
0,CC(=O)OCC(=O)[C@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)OC(=O)C)O,prot743,human
0,C1CCC(C1)[C@@H](/C=C/[C@H]2[C@@H](C[C@H]3[C@@H]2C/C(=C/CCCC(=O)O)/C3)O)O,prot836,human
1,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,prot95,human
1,C1C2=CC=CC=C2C3=C1C(=NN3)C4=CC=NC=C4,prot9,human
1,C1=CC=C2C(=C1)C(=C(N2)C3=C4C=CC=CC4=NC3=O)NO,prot267,human
1,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC,prot840,human
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC[C@@H]4[C@@]3(C=CC(=O)C4)C,prot841,human
1,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,prot9,human
1,CS(=O)C,prot842,human
0,CC(=CCC/C(=C/CC/C(=C/C=O)/C)/C)C,prot843,human
0,COC(=O)CN,prot844,human
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CCC4=CC(=O)C=C[C@]34C,prot845,human
0,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@@H]1[C@@H]([C@@H]([C@H]([C@@H]([C@H]1O)OP(=O)(O)O)OP(=O)(O)O)O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,prot505,human
1,CC1=C(SC(=N1)NC)C2=NC(=NC=C2)NC3=CC=C(C=C3)O,prot9,human
0,C[C@@H]1C2[C@H](C3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,prot717,human
1,C(=C(\O)/[O-])\[C@H](C(=O)[O-])O,prot527,human
1,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)COP(=O)(O)O,prot846,human
0,CC1=CC(=O)C[C@H]2[C@]1([C@H]3CC[C@]4([C@H]([C@@H]3CC2)CC[C@@H]4O)C)C,prot847,human
0,CC12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,prot501,human
0,CCCCCCCCO[C@H]1[C@H](C([C@@H](C(O1)CO)O)O)O,prot420,human
1,CS(=O)C,prot627,human
0,CC(C)(C)NCC(C1=CC=CC=C1Cl)O,prot850,human
1,CCCCCCCC(=O)O,prot157,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot9,human
1,C(C(CO)O)O,prot851,human
1,C(C(CO)O)O,prot855,human
1,CSC[C@@H](C(=O)O)N,prot516,human
0,C1CC[C@H]([C@H](C1)CCP(=O)(O)O)C[C@@H](C(=O)O)N,prot856,human
1,C(CC(=O)O)[C@@H](C(=O)N)N,prot857,human
1,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,prot858,human
1,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,prot3,human
0,CCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C,prot64,human
1,C(CO)N(CCO)CC(=O)O,prot3,human
1,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,prot198,human
0,CCCCCCCCCCCCCCCCCCCCCCCCCC(C(CCCCCCCCCCC1CC1CCCCCCCCCCCCCCCCCC)C(=O)OCC2C(C(C(C(O2)OC3C(C(C(C(O3)COC(=O)C(CCCCCCCCCCCCCCCCCCCCCCCC)C(CCCCCCCCCCCC4CC4CCCCCCCCCCCCCCCCCC)O)O)O)O)O)O)O)O,prot860,human
0,[C@H]([C@@H](C(=O)O)O)(C(=O)O)O,prot861,human
0,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C(CN)N,prot561,human
1,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,prot9,human
0,C1=CC(=CC=C1CBr)CBr,prot862,human
0,C[C@H](CCCC(C)CO)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,prot863,human
1,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,prot28,human
1,C(CO)N,prot864,human
1,CN,prot44,human
0,[C@H]1([C@H]([C@H](O[C@@H]([C@@H]1OC2[C@@H]([C@H]([C@H]([C@H](O2)C(=O)O)OC3[C@@H]([C@H]([C@H]([C@H](O3)C(=O)O)O)O)O)O)O)C(=O)O)O)O)O,prot257,human
1,C12=C(NC(=O)N1)NC(=O)NC2=O,prot230,human
0,COC1=C(C=CC(=C1)/C=C/C=O)O,prot865,human
0,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8CC(=O)OC8)O)C)O)C)C)C)O)O,prot209,human
1,C(CS)O,prot296,human
0,CCC=CC=CC=CC=CCCCCCCCC(=O)O,prot286,human
1,CC(C)C(=O)C(=O)O,prot866,human
1,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2,prot28,human
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC=C4[C@@]3(C[C@H](C(=O)C4(C)C)C#N)C,prot867,human
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot9,human
0,C[C@H](CC[C@@H](C(C)C)O)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C,prot62,human
0,C1[C@@H]([C@H]([C@@H]([C@@H](N1)CO)O)O)O,prot869,human
0,CC12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,prot870,human
0,C[C@H]1[C@H]2[C@H](C[C@@]3([C@@]2(CC[C@]45[C@H]3CC[C@@H]6[C@]4(C5)CC[C@@H](C6(C)C)O)C)C)O[C@]7([C@@H]1OC([C@H]7O)(C)C)O,prot475,human
0,CN[C@H]1[C@H]([C@@H]2[C@H](C[C@H](C(O2)O[C@@H]3[C@H](C[C@H]([C@@H]([C@H]3O)O)N)N)N)O[C@@H]1O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)N)O)O)O,prot872,human
1,CCC[C@](C)([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)C)OC)O,prot28,human
1,CCCCC=O,prot9,human
1,C(C(CO)O)O,prot147,human
1,CC1=C(C(=NC(=N1)C2=CC=CC=N2)NCCC3=CC=CC=C3)Cl,prot278,human
0,C1[C@H](N[C@@H]1C(=O)O)C(=O)O,prot873,human
1,CC(=O)OCC[N+](C)(C)C,prot202,human
1,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,prot183,human
1,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,prot3,human
1,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,prot294,human
0,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@@H]([C@H](C(O[C@@H]2C(=O)O)O)O)O)C(=O)O)O)O,prot460,human
0,C[C@@H]1O[C@@H](CS1)C[N+](C)(C)C,prot874,human
0,C[C@@H]1CC2=C(CCC(=O)C2)[C@@H]3C1[C@@H]4CC[C@](C4(CC3)C)(C#C)O,prot97,human
1,CCNC(=O)N(CCCN(C)C)C(=O)[C@@H]1C[C@H]2[C@@H](CC3=CNC4=CC=CC2=C34)N(C1)CC=C,prot28,human
1,COC1=C(C(=C(C=C1)F)F)C(=O)C2=CN=C(N=C2N)NC3CCN(CC3)S(=O)(=O)C,prot9,human
1,CCO,prot208,human
0,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,prot877,human
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot879,human
1,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O,prot28,human
0,C1C(C(C(N1)CO)O)O,prot880,human
0,C1=NC2=C(C(=N1)N)N=CN2[C@H]3C([C@H]([C@H](O3)CO)O)O,prot324,human
0,CCCCC/C=C/CC/C=C/CCCCCCC(=O)O,prot382,human
0,CCC(=O)N,prot882,human
1,CC(C)N1C2=C(C(=N1)C3=CC(=CC=C3)O)C(=NC=N2)N,prot633,human
1,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,prot28,human
1,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC,prot150,human
1,C(C(CO)O)O,prot883,human
0,CC(=O)CC(=O)OC,prot884,human
1,C(C(CO)O)O,prot885,human
0,F[Al],prot887,human
0,[B]=O,prot888,human
0,C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,prot311,human
1,C1C[C@@H](O[C@@H]1COP(=O)(O)O)N2C=CC(=NC2=O)N,prot889,human
1,CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC,prot28,human
0,CC[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)O,prot891,human
1,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,prot28,human
1,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=C(C=C3)N(C)C,prot28,human
0,C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3([C@H]([C@]2(C)CO)CC[C@@]4([C@@H]3C=C[C@@]56[C@]4(C[C@H]([C@@]7([C@H]5CC(CC7)(C)C)CO6)O)C)C)C)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O,prot893,human
1,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,prot28,human
1,C(C(CO)O)O,prot895,human
1,C([C@@H](C(=O)O)N)S(=O)(=O)O,prot122,human
1,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,prot236,human
0,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)CO,prot624,human
0,C[C@]12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,prot896,human
0,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(C=CC[C@H]2C/C=C/3\C[C@H](CCC3=C)O)C,prot898,human
1,C(C(CO)O)O,prot727,human
1,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,prot662,human
1,C(C(CO)O)O,prot899,human
0,CC(=O)CO,prot545,human
0,C(CCNC1=N[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)CN,prot900,human
1,CCN(CC)C(=S)SSC(=S)N(CC)CC,prot28,human
0,CCCCC(C)(C)[C@@H](/C=C\[C@@H]1[C@H](CC(=O)[C@H]1CCCC/C=C/C(=O)OC)O)O,prot902,human
0,C(CC(=O)C(=O)O)CC(=O)O,prot461,human
1,C(C1=C(C(=C(C(=C1F)F)F)F)F)O,prot399,human
1,CNC1=NC=CC(=N1)C2=CC=C(S2)C(=O)N[C@@H](CC3=C(C=C(C=C3)Cl)Cl)CN,prot903,human
0,C1=CC=C2C=C3C=C4C=C5C=CC=CC5=CC4=CC3=CC2=C1,prot904,human
1,CC(C)(C)O,prot905,human
0,CC12CC[C@H](C[C@@H]1CCC3C2CCC4(C3CCC4C(=O)CO)C)O,prot742,human
1,C1[C@H](N([C@H](C(=N1)NCCC2=CC=CC=N2)O)CC(=O)NCC3=CSC4=C3C=C(C=C4)Cl)Cl,prot85,human
0,C1CC(=C[NH+]([C@H]1O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O)C(=O)N,prot906,human
0,C(C(C(C(C(C(=O)O)O)O)O)O)O,prot907,human
0,CC(=CCC1=C(OC2=C3C=CC(OC3=CC(=C2C1=O)O)(C)C)C4=C(C=C(C=C4)O)O)C,prot908,human
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot909,human
0,C(C(C(=O)O)S)(C(=O)O)S,prot911,human
1,C(C(CO)O)O,prot912,human
1,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,prot9,human
0,CC(=O)[C@H]1CCC2[C@@]1(CCC3C2CC[C@H]4[C@@]3(CC[C@@](C4)(C#C)O)C)C,prot718,human
0,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC(=O)C4)C)C,prot913,human
0,CC1([C@H]2C[C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O,prot914,human
0,CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)(O)OCCO)OC(=O)CCCCCCC/C=C/CCCCCCCC,prot432,human
1,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,prot28,human
1,CN(C1CCNCC1)C(=O)N2CC(=C[C@H]2C3=CC=CC=C3)C4=C(C=CC(=C4)F)F,prot915,human
0,CC[C@H]1CN2CC[C@]3([C@@H]2C[C@@H]1/C(=C\OC)/C(=O)OC)C4=CC=CC=C4NC3=O,prot916,human
0,C1[C@H]([C@H](C(O1)(CO)O)O)O,prot917,human
0,CC(=CCC[C@@](C)([C@H]1CC[C@@]2(C1[C@@H](CC3[C@]2(CCC4[C@@]3(CC[C@@H](C4(C)C)OC5C(C(C(C(O5)CO)O)O)O)C)C)O)C)O)C,prot918,human
1,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,prot28,human
1,C1=CC(=CC=C1C#N)N(CC2=CC(=C(C=C2)OS(=O)(=O)N)Br)N3C=NN=C3,prot3,human
0,COC1=CC(=C(C=C1C(=O)NC[C@H]2CCN3[C@@H]2CCC3)Cl)N,prot919,human
1,CCCCCCCCCCCCCCCC(=O)O,prot153,human
0,CC1=CC=CC(=C1O)C(=O)O,prot446,human
1,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC(=O)CN,prot920,human
1,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC,prot28,human
1,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,prot28,human
0,CCCC[C@@H](C(=O)N[C@@H]1CC(=O)NCCCCC(NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC(=O)[C@H](NC1=O)CC2=CN=CN2)CC3=CC=CC=C3)CCCN=C(N)N)CC4=CNC5=CC=CC=C54)C(=O)N)NC(=O)C,prot921,human
1,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,prot28,human
1,C(C(CO)O)O,prot487,human
0,CC(C)C[C@@](C)(C(=O)O)N,prot286,human
1,C(C(=O)O)N,prot210,human
1,C(C(CO)O)O,prot553,human
1,C1=C(NC=N1)C[C@@H](C(=O)O)N,prot767,human
1,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,prot3,human
1,C(C(CO)O)O,prot364,human
0,CC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)O,prot922,human
1,C1=NC2=C(N1)C(=NC=N2)N,prot880,human
0,C(CCCCC/C=C/C=C/C=C/C=C/C(=O)O)CCCCCO,prot924,human
0,C[C@H]1C[C@H]2[C@@H]3CC[C@@H]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)CC4)C)O)C)C(=O)C,prot925,human
1,C1CCC(CC1)COC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)S(=O)(=O)N,prot49,human
0,CCCCCCCC/C=C\CCCCCCCCO,prot386,human
0,C[C@]12CC[C@@H]3[C@H]([C@@H]1CC[C@@H]2OP(=O)([O-])[O-])CCC4=C3C=CC(=C4)O,prot40,human
1,CN1CCN2C(C1)C3=CC=CC=C3CC4=CC=CC=C42,prot28,human
1,C1=CC(=C(C(=C1)F)NC(=S)N2C(=NC(=N2)NC3=CC=C(C=C3)S(=O)(=O)N)N)F,prot58,human
1,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,prot840,human
