celegans_bin,smiles,proteinName,protein_dataset
0,COC(=O)C1=CC(=C(C(=C1)O)O)O,prot459,celegans
0,CC(=O)C(C)(C(=O)O)O,prot465,celegans
1,C([C@@H](C(=O)O)N)OP(=O)(O)O,prot25,celegans
0,C(C(C(=O)O)N)Cl,prot382,celegans
1,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,prot1,celegans
0,CCCCCC(=O)O,prot941,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,prot218,celegans
0,CCC(=O)C1=CC=CC=C1,prot147,celegans
1,C1CCC(CC1)COC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)S(=O)(=O)CCNCCCO,prot79,celegans
1,COCC1=C2C(=CC(=C1)O)[C@@H]3CCC[C@@H]3[C@@H](O2)C4=CC=C(C=C4)O,prot15,celegans
0,CCCCCCCO,prot310,celegans
0,CCCC(CCC)C(=O)O,prot942,celegans
0,CCC(C)C(C(=O)O)N,prot545,celegans
0,C1CC(=O)NC1C(=O)O,prot943,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=CC(=O)CC[C@]34C,prot871,celegans
1,C(C(=O)O)C(=O)O,prot85,celegans
0,C(C(=O)[O-])(C(=O)[O-])O,prot944,celegans
1,C1C2=CC(=CC(=C2OCO1)CN3C4=C(C=C(C=C4)F)/C(=N\O)/C3=O)F,prot25,celegans
0,CC(=O)OC(C)(C)C,prot946,celegans
0,C1=CN(C2=C1C(=NC=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot218,celegans
1,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,prot319,celegans
0,C1=CC(=CC=C1CC(C(=O)O)N)Cl,prot947,celegans
1,C(C(CO)O)O,prot26,celegans
0,CCCC(=O)NC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@H]4[C@H](O3)COP(=O)(O4)O)OC(=O)CCC,prot308,celegans
0,C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)F)O)O,prot617,celegans
1,C(C(CO)O)O,prot664,celegans
0,CN(C)N,prot948,celegans
1,CCOC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)Br)OC)N)C#N,prot25,celegans
1,CC(C)NCC(C1=CC(=C(C=C1)O)O)O,prot1,celegans
1,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,prot1,celegans
1,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,prot2,celegans
1,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,prot1,celegans
1,C(C(CO)O)O,prot949,celegans
0,CCNC1=CC=CC=C1,prot236,celegans
0,CN(C)C1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)N)O,prot407,celegans
1,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,prot2,celegans
0,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,prot950,celegans
1,CCCCC1=C2C(=NC=CN2)NC1=C3C=CC(=O)C=C3,prot25,celegans
0,CC(C)CO,prot461,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O,prot242,celegans
0,CCC(C(=O)O)O,prot610,celegans
0,C(C(C(=O)O)N)N,prot175,celegans
0,CCCCCCCC(=O)OCC,prot153,celegans
0,CC1=CCC(C=C1)C(C)C,prot274,celegans
0,C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N,prot9,celegans
0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,prot78,celegans
1,C(C(CO)O)O,prot79,celegans
0,CC(C)C(C(C)(C)CO)O,prot64,celegans
1,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,prot571,celegans
0,C(C1C(C(C(C(O1)OP(=O)(O)O)O)O)O)O,prot952,celegans
1,C1=CC=C(C=C1)C(=O)NC2=NNC3=C2C=C(C=C3)NC(=O)[C@@H](CCN)C4=CC(=CC=C4)Cl,prot25,celegans
0,C1=C(ONC1=O)C(C(=O)O)N,prot953,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot536,celegans
0,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot225,celegans
1,C1C[C@H]2[C@@H](C1)C3=C(C=CC(=C3)O)O[C@H]2C4=CC=C(C=C4)O,prot15,celegans
0,CC(=O)C,prot954,celegans
0,CC1(C2CCC(O1)(CC2)C)C,prot385,celegans
0,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)O)O)O,prot955,celegans
0,C([C@@H](C(=O)O)N)C(=O)N,prot866,celegans
0,CSC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot308,celegans
0,C(C(C(=O)O)S)(C(=O)O)S,prot956,celegans
1,C1[C@H](C(=O)NC2=CC=CC=C21)NC(=O)C3=CC4=C(N3)SC(=C4)Cl,prot117,celegans
0,CCCCCCCC(=O)OCC,prot186,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot923,celegans
0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,prot957,celegans
0,CNCCO,prot958,celegans
0,CC(=O)OCC[N+](C)(C)C,prot959,celegans
0,CNNC,prot497,celegans
0,CCCCCC(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O,prot55,celegans
1,CCCCCCCCCCCCCCCC(=O)O,prot961,celegans
1,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)O,prot962,celegans
0,[O-]S(=O)(=O)[O-],prot963,celegans
0,CCNNC(=O)C1C(C(C2=CC3=C(C=C2C1C4=CC(=C(C(=C4)OC)OC)OC)OCO3)O)CO,prot401,celegans
1,C(C(CO)O)O,prot964,celegans
1,C1CC2=CC=CC=C2[C@@H]([C@H]1N)O,prot805,celegans
0,C1CC(NC1)C(=O)O,prot92,celegans
0,CC(CC1=CC=CC=C1)NC2=NC=NC3=C2N=CN3C4C(C(C(O4)CO)O)O,prot965,celegans
1,C[C@@H](CC(C)(C)O)O,prot966,celegans
0,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)NC(=NC2=O)N,prot967,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot968,celegans
1,C(C(CO)O)O,prot153,celegans
1,C([C@@H](C(=O)O)N)N1C(=O)NC(=O)O1,prot92,celegans
1,CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,prot480,celegans
1,CSCC[C@H](C(=O)O)N,prot382,celegans
0,CC1=CN(C(=O)NC1=O)C2CCC(O2)CO,prot969,celegans
1,C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2,prot970,celegans
1,C[C@@H](CC(C)(C)O)O,prot40,celegans
0,COC1=CC=C(C=C1)[N+](=O)[O-],prot424,celegans
1,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,prot151,celegans
1,C(C(CO)O)O,prot971,celegans
1,C(C(CO)O)O,prot972,celegans
1,C1C[C@H](NC1)C(=O)O,prot973,celegans
1,C(C(CO)O)O,prot712,celegans
1,CC(CC1=CC=C(C=C1)O)NCC(C2=CC(=CC(=C2)O)O)O,prot974,celegans
0,CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C,prot975,celegans
0,CC1=CN(C(=O)N=C1N)[C@H]2CC([C@H](O2)CO)O,prot136,celegans
1,CCCCCC[C@H]([C@H](C)O)N1C=NC2=C1N=CN=C2N,prot342,celegans
1,C1CNCCC1NC(=O)C2=C(C=NN2)NC(=O)C3=C(C=CC=C3Cl)Cl,prot25,celegans
0,C(CN)CO,prot279,celegans
1,C(C(CO)O)O,prot977,celegans
1,C1CCC(CC1)COC2=NC(=NC3=C2NC=N3)NC4=CC=C(C=C4)C(=O)N,prot79,celegans
1,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,prot230,celegans
0,C(C(C(=O)O)O)C(=O)O,prot349,celegans
1,CC(C)CCSP(=O)(O)OP(=O)(O)O,prot632,celegans
0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,prot564,celegans
0,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O,prot43,celegans
1,C1=CC(=CC(=C1)Br)C2=CC(=[N+]3C(=N2)C=CN3)NCC4=CC=NC=C4,prot25,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot256,celegans
0,C(=O)C=O,prot978,celegans
0,CC1=CC=C(C=C1)O,prot1,celegans
1,C(C(CO)O)O,prot979,celegans
1,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,prot160,celegans
0,CCOC(=O)C(C)C(=O)C,prot556,celegans
0,C1=CC=C(C=C1)C(C(=O)O)N,prot980,celegans
1,CNS(=O)(=O)C1=CC=C(C=C1)C2=CC=C(O2)/C=C\3/C(=O)N=C(S3)N,prot79,celegans
1,C=C=CCNCCCCNCC=C=C,prot504,celegans
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot981,celegans
0,C1=CC=C(C=C1)COC=O,prot982,celegans
1,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32,prot1,celegans
0,CCC(=O)N,prot983,celegans
0,CC(C(=O)O)C(=O)O,prot883,celegans
0,C1CC(OC1)N2C=C(C(=O)NC2=O)F,prot984,celegans
1,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,prot499,celegans
1,C1CNCC2=C1C=CC(=C2)S(=O)(=O)NC3=CC=C(C=C3)Cl,prot805,celegans
0,C(C(C(=O)O)N)N,prot985,celegans
1,C(CC(=O)O)[C@@H](C(=O)O)N,prot185,celegans
1,C1CNCCC1C2=CC3=C(CCC(=O)N3C4=C(C=CC=C4Cl)Cl)C(=C2)C5=C(C=C(C=C5)F)F,prot25,celegans
1,C(CC(=O)O)C(=O)C(=O)O,prot988,celegans
0,C1=CC(=CC=C1C(CN)O)O,prot989,celegans
1,COC1=C(C=C(C=C1)C2=CC=CC=C2)N3CC(=O)NS3(=O)=O,prot191,celegans
0,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O,prot990,celegans
0,C1=CC=C(C=C1)C=O,prot459,celegans
1,CCCN1C[C@@H](C[C@H]2[C@H]1CC3=CNC4=CC=CC2=C34)CSC,prot1,celegans
0,CCCCC(CC)C(=O)O,prot991,celegans
0,CSCCC(C(=O)O)N,prot488,celegans
1,C1C[C@H](NC1)C(=O)O,prot68,celegans
1,C(C(CO)O)O,prot119,celegans
1,C(COCCOCCO)O,prot332,celegans
0,C(C(C(=O)O)S)C(=O)O,prot238,celegans
0,CC(C)C=O,prot815,celegans
1,C1COCCN1CCCS(=O)(=O)O,prot440,celegans
1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,prot2,celegans
0,CC(C)[C@@H](C(=O)O)N,prot197,celegans
0,CCl,prot994,celegans
0,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C4=CC=CC=C4C=C3,prot995,celegans
1,C[C@@H](CC(C)(C)O)O,prot176,celegans
0,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,prot165,celegans
1,B([C@@H]1CCCN1C(=O)[C@@H]2CCCN2)(O)O,prot139,celegans
1,C(CO)C(CCO)(CCO)N,prot105,celegans
1,CNCCCC1C2=CC=CC=C2C=CC3=CC=CC=C13,prot2,celegans
0,C(CO)C(C(=O)O)N,prot997,celegans
0,C[C@]12CC[C@H](C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,prot998,celegans
0,C1=C(C2=C(N1)C(=O)N=CN2)C3C(C(C(N3)CO)O)O,prot117,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot817,celegans
1,C1=CC=C(C=C1)O,prot999,celegans
1,C(C(CO)O)O,prot382,celegans
0,CCNC(=O)C1C(C(C(O1)N2C=NC3=C2N=CN=C3NCC4=CC=CC=C4)O)O,prot309,celegans
1,C(C(CO)O)O,prot573,celegans
0,C(C(C(=O)C(=O)O)C(=O)O)C(=O)O,prot268,celegans
0,CCOC(=O)C(C)C(=O)C,prot1000,celegans
0,CC1=CC(=O)NC(=O)N1,prot1001,celegans
1,CC(C)CN1C2=C(C(=O)N(C1=O)C)NC=N2,prot480,celegans
0,C(C(=O)C(=O)O)O,prot167,celegans
1,C(C(CO)O)O,prot71,celegans
1,CC1=NC=C(C(=C1O)CN[C@H](C)C(=O)O)COP(=O)(O)O,prot215,celegans
0,C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O,prot1002,celegans
1,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,prot356,celegans
1,C(C(CO)O)O,prot724,celegans
0,CC(C)C(CC(=O)O)(C(=O)O)O,prot165,celegans
0,C1CC(=O)NC1C(=O)O,prot154,celegans
0,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,prot909,celegans
0,CC(C)C(C(C)(C)CO)O,prot1003,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,prot1004,celegans
0,COCCCCCCCCCCCC(=O)O,prot1005,celegans
0,C(C(C(C(C(=O)C(=O)O)O)O)O)O,prot1006,celegans
0,CC1=C(C(=CC=C1)C)N,prot1007,celegans
0,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,prot559,celegans
0,C#CCO,prot213,celegans
0,CC(C)C(C(C)(C)CO)O,prot588,celegans
1,CN1CCC2=CC=CC3=C2[C@H]1CC4=C3C(=C(C=C4)O)O,prot1,celegans
0,C(CC(C(=O)O)N)CC(C(=O)O)N,prot1008,celegans
1,C[C@@H](/C=C(\C)/C=C/[C@@H]([C@H](C)C(=O)O)N)[C@H](CC1=CC=CC=C1)OC,prot503,celegans
1,C(C(CO)O)O,prot1009,celegans
1,C1=CC=C(C(=C1)C(=O)O)O,prot261,celegans
0,CCCCCCO,prot784,celegans
1,C1=CC(=CC(=C1)N)C(=O)O,prot681,celegans
1,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC,prot1,celegans
1,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)OP(=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C5N=CN=C6N)O)O)O)O)O,prot330,celegans
0,C(C(C(=O)O)N)O,prot700,celegans
0,C1=CC(=CC(=C1)C(=O)O)C(=O)O,prot67,celegans
0,C(C(=O)N)I,prot1011,celegans
1,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,prot1,celegans
0,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=CC(=O)C=C[C@]34C,prot359,celegans
0,CC1CCC2(C3(CC4(C5(C(C(C3(C5(C2(C1O)O4)O)O)OC(=O)C6=CC=CN6)(C(C)C)O)C)O)C)O,prot1012,celegans
1,CC1=C(C=CC(=C1C)OCCCC(=O)O)NC(=O)NC(=O)C2=C(C=C(C=C2)Cl)Cl,prot117,celegans
0,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,prot550,celegans
0,CC(C)C(C(=O)O)NC,prot1013,celegans
0,C(CN)C(C(=O)O)N,prot121,celegans
0,C=C(CC(=O)O)C(=O)O,prot635,celegans
0,CC(C)NCCO,prot1015,celegans
1,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,prot25,celegans
1,C(C(CO)O)O,prot1016,celegans
0,C(C1C(C(C(O1)O)O)O)O,prot948,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot1018,celegans
0,CC(=O)OCC(=O)C1(CCC2C1(C[C@@H]([C@]3(C2CCC4=CC(=O)C=CC43C)F)O)C)O,prot116,celegans
1,CC1=C2C(=NC(=NC2=NC=C1CC3=C(C=CC(=C3)OC)OC)N)N,prot48,celegans
0,CCCCCO,prot690,celegans
1,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,prot2,celegans
0,CC(CO)N,prot1019,celegans
0,CCC(C)OC(=O)C,prot1020,celegans
0,CC(C(=O)O)C(=O)O,prot322,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot25,celegans
1,C([C@@H](C(=O)O)N)C(=O)O,prot1023,celegans
0,C(CCC(=O)O)CCN,prot322,celegans
0,CCC(=O)C,prot28,celegans
0,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C(=O)O)O)O,prot1024,celegans
1,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,prot791,celegans
1,C1=CC=C2C(=C1)C(=CC=N2)C3=C(NN=C3)C4=CC=CC=N4,prot578,celegans
1,C[C@H](/C=C(\C)/C=C/C(=O)NO)C(=O)C1=CC=C(C=C1)N(C)C,prot422,celegans
1,C(C(=O)O)C(=O)O,prot266,celegans
1,C1CCC(CC1)(CC(=O)O)CN,prot412,celegans
0,C1=CC(=CC=C1N)O,prot893,celegans
0,C(CC(C(=O)O)N)CC(C(=O)O)N,prot409,celegans
1,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F,prot1,celegans
1,C(C(CO)O)O,prot572,celegans
0,CC(CNCC(C)O)O,prot160,celegans
0,C1=CC(=CC(=C1)Cl)C(=O)O,prot67,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot426,celegans
0,C1CCCNCC1,prot121,celegans
1,C(CN)C(=O)O,prot560,celegans
0,CC(C)C(C(C)(C)CO)O,prot944,celegans
0,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C(=O)O)O)O)O)O)O)O,prot811,celegans
0,C1C(C(C(C1N2C=NC3=C2N=CN=C3N)O)O)CO,prot256,celegans
0,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCCC(C(=O)O)N)O)O,prot848,celegans
0,C#CCO,prot659,celegans
0,CC(CCO)O,prot1028,celegans
0,C1CC(=O)NC1C(=O)O,prot497,celegans
0,C(C(C(=O)O)N)Cl,prot1029,celegans
1,C1=CC=C2C(=C1)N=C(S2)[C@H](C#N)C3=NC(=NC=C3)NCCC4=CN=CC=C4,prot25,celegans
1,C(CS)O,prot327,celegans
1,CCO[C@@H](CC1=CC=C(C=C1)OCCN2C3=CC=CC=C3OC4=CC=CC=C42)C(=O)O,prot15,celegans
0,C([C@@H]([C@H]([C@@H](C(=O)CO)O)O)O)O,prot512,celegans
0,CCC(C(=O)O)O,prot359,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot839,celegans
0,CS(=O)(=O)OCCCCOS(=O)(=O)C,prot1030,celegans
1,C(CS)O,prot863,celegans
0,CC(=NCCCCC(C(=O)O)N)N,prot1031,celegans
0,CC1[C@@H](C(C([C@H](O1)O[C@H]2C[C@H]([C@@]3(C4C(CC[C@@]3(C2)O)[C@]5(CCC([C@]5(CC4O)C)C6CC(=O)OC6)O)CO)O)O)O)O,prot1032,celegans
0,C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O,prot107,celegans
1,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,prot225,celegans
1,C(C(CO)O)O,prot961,celegans
0,CC(C)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,prot93,celegans
0,C(C(C(=O)O)N)O,prot680,celegans
0,C(CCN)CC(=O)O,prot268,celegans
1,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,prot25,celegans
1,C1COCCN1CCCS(=O)(=O)O,prot382,celegans
1,C(CS)O,prot176,celegans
1,CCCCCCCCCCCCCCCC(=O)O,prot1033,celegans
1,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C,prot25,celegans
0,C1CC(=O)CC(=O)C1,prot1034,celegans
0,C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,prot89,celegans
1,C([C@@H](C(=O)O)N)OP(=O)(O)O,prot25,celegans
0,CC(=O)CO,prot181,celegans
1,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1,prot1,celegans
0,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,prot1035,celegans
1,C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,prot25,celegans
0,CSCC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O,prot1036,celegans
1,C1=CC(=CC=C1CN)NC(=O)C(=O)O,prot191,celegans
1,C[C@H]([C@@H](C(=O)O)N)O,prot26,celegans
1,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot1037,celegans
0,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot549,celegans
0,C(C(C(=O)O)O)C(=O)O,prot62,celegans
1,CC#CCNC1=CC=C(C=C1)S(=O)(=O)CC2(CCN(CC2)C(=O)OC(C)(C)C)C(=O)NO,prot592,celegans
0,C(CO)C(C(=O)O)N,prot1038,celegans
1,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,prot1039,celegans
0,CC(=O)[O-],prot321,celegans
0,C1CCC(C1)(C(=O)O)N,prot38,celegans
0,CC(CCO)O,prot181,celegans
0,CCC(C)C(C(=O)O)N,prot1040,celegans
0,CC(CC=O)O,prot109,celegans
1,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,prot1,celegans
1,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,prot178,celegans
1,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,prot1,celegans
1,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,prot1,celegans
1,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2,prot1,celegans
0,C1=CC=C(C=C1)C(C(=O)O)O,prot70,celegans
1,C1=CC(=CC(=C1)O)C2=CC(=O)NS2(=O)=O,prot191,celegans
0,C=C(CC(=O)O)C(=O)O,prot1041,celegans
0,C(CC(C(=O)O)N)CC(C(=O)O)N,prot871,celegans
1,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,prot129,celegans
0,CSC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot698,celegans
1,C(C(CO)O)O,prot1042,celegans
0,C(C(=O)O)N=C(N)N,prot278,celegans
0,C(C(C(=O)O)O)C(=O)O,prot311,celegans
0,C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,prot999,celegans
0,C1CC(OC1)N2C=NC3=C2N=CN=C3N,prot1043,celegans
0,C(C(C(=O)O)O)O,prot1044,celegans
1,CC[C@H](CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3O)N=CN2C(C)C,prot25,celegans
1,C1CN(CC1(F)F)C(=O)[C@@H]2C[C@@H](CN2)N3CCN(CC3)C4=NC=CC=N4,prot139,celegans
0,C1=C2C(=CC(=C1Cl)Cl)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,prot1045,celegans
0,CC(=O)C1=C[N+](=CC=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O,prot157,celegans
0,CN(C)N,prot1046,celegans
0,C1=CC(=CC(=C1)N)C(=O)O,prot854,celegans
1,C(C(CO)O)O,prot239,celegans
1,OP(=O)(O)OP(=O)(O)OP(=O)(O)O,prot629,celegans
0,CC(C)NCCO,prot912,celegans
0,CCCCC(CC)C(=O)O,prot772,celegans
0,CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O,prot498,celegans
0,CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,prot792,celegans
0,CC(C(C)O)O,prot1047,celegans
0,CC(C(=O)O)C(CC(=O)O)(C(=O)O)O,prot507,celegans
0,CCNNC(=O)C1C(C(C2=CC3=C(C=C2C1C4=CC(=C(C(=C4)OC)OC)OC)OCO3)O)CO,prot1048,celegans
1,C1=CC2=C(C(=O)N=C2C=C1)NC3=CC=C(C=C3)O,prot25,celegans
1,C(C(CO)O)O,prot48,celegans
